Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
03/06/14,walking,walking,2014-06-03T21:03:55+01:00,2014-06-03T21:10:02+01:00,367,0.273,587,32
03/06/14,walking,walking,2014-06-03T21:50:05+01:00,2014-06-03T21:55:33+01:00,328,0.390,538,46
03/06/14,walking,walking,2014-06-03T21:55:55+01:00,2014-06-03T21:56:47+01:00,52,0.022,69,3
03/06/14,walking,walking,2014-06-03T22:12:26+01:00,2014-06-03T22:20:49+01:00,503,0.289,643,34
03/06/14,transport,transport,2014-06-03T22:20:49+01:00,2014-06-03T23:15:01+01:00,3252,27.985,0,0
03/06/14,walking,walking,2014-06-03T23:15:43+01:00,2014-06-03T23:18:56+01:00,193,0.119,256,14
03/06/14,transport,transport,2014-06-03T23:35:16+01:00,2014-06-03T23:38:31+01:00,195,0.372,0,0
03/06/14,walking,walking,2014-06-03T23:38:45+01:00,2014-06-03T23:40:20+01:00,95,0.040,127,5
04/06/14,walking,walking,2014-06-04T00:17:24+01:00,2014-06-04T00:22:00+01:00,276,0.130,280,15
04/06/14,walking,walking,2014-06-04T00:22:54+01:00,2014-06-04T00:23:51+01:00,57,0.029,93,3
04/06/14,walking,walking,2014-06-04T02:02:22+01:00,2014-06-04T02:02:51+01:00,29,0.012,39,1
04/06/14,walking,walking,2014-06-04T03:02:41+01:00,2014-06-04T03:03:41+01:00,60,0.026,84,3
04/06/14,walking,walking,2014-06-04T03:04:24+01:00,2014-06-04T03:05:08+01:00,44,0.022,70,3
04/06/14,airplane,transport,2014-06-04T03:17:16+01:00,2014-06-04T10:55:22+01:00,27486,4413.824,0,0
04/06/14,walking,walking,2014-06-04T11:12:10+01:00,2014-06-04T11:16:39+01:00,269,0.127,411,15
04/06/14,walking,walking,2014-06-04T11:16:39+01:00,2014-06-04T11:19:13+01:00,154,0.101,216,12
04/06/14,walking,walking,2014-06-04T11:27:29+01:00,2014-06-04T11:32:11+01:00,282,0.152,397,18
04/06/14,walking,walking,2014-06-04T11:39:41+01:00,2014-06-04T11:41:41+01:00,120,0.100,134,12
04/06/14,transport,transport,2014-06-04T11:41:41+01:00,2014-06-04T13:45:00+01:00,7399,29.672,0,0
04/06/14,walking,walking,2014-06-04T13:44:59+01:00,2014-06-04T13:49:33+01:00,274,0.203,407,24
04/06/14,walking,walking,2014-06-04T13:49:33+01:00,2014-06-04T13:50:24+01:00,51,0.021,68,3
05/06/14,walking,walking,2014-06-05T03:13:10+01:00,2014-06-05T03:13:38+01:00,28,0.012,37,1
05/06/14,walking,walking,2014-06-05T09:34:01+01:00,2014-06-05T09:34:03+01:00,2,0.001,3,0
05/06/14,walking,walking,2014-06-05T10:00:06+01:00,2014-06-05T10:00:18+01:00,12,0.005,16,1
05/06/14,walking,walking,2014-06-05T17:46:04+01:00,2014-06-05T17:46:15+01:00,11,0.004,14,1
05/06/14,walking,walking,2014-06-05T18:00:38+01:00,2014-06-05T18:01:13+01:00,35,0.014,46,2
05/06/14,walking,walking,2014-06-05T19:21:48+01:00,2014-06-05T19:21:56+01:00,8,0.003,10,0
05/06/14,walking,walking,2014-06-05T20:03:40+01:00,2014-06-05T20:03:44+01:00,4,0.002,5,0
06/06/14,walking,walking,2014-06-06T08:52:04+01:00,2014-06-06T08:52:11+01:00,7,0.003,9,0
06/06/14,walking,walking,2014-06-06T08:52:14+01:00,2014-06-06T08:57:49+01:00,335,0.160,360,19
06/06/14,walking,walking,2014-06-06T08:58:07+01:00,2014-06-06T08:58:08+01:00,1,0.001,1,0
06/06/14,walking,walking,2014-06-06T09:11:32+01:00,2014-06-06T09:11:55+01:00,23,0.009,30,1
06/06/14,walking,walking,2014-06-06T09:12:22+01:00,2014-06-06T09:31:18+01:00,1136,0.924,1588,110
06/06/14,walking,walking,2014-06-06T09:31:18+01:00,2014-06-06T09:32:26+01:00,68,0.034,110,4
06/06/14,walking,walking,2014-06-06T09:36:57+01:00,2014-06-06T09:44:01+01:00,424,0.431,700,51
06/06/14,walking,walking,2014-06-06T09:44:01+01:00,2014-06-06T09:44:18+01:00,17,0.007,22,1
06/06/14,walking,walking,2014-06-06T09:48:25+01:00,2014-06-06T10:00:04+01:00,699,0.656,1238,78
06/06/14,walking,walking,2014-06-06T10:00:04+01:00,2014-06-06T10:01:04+01:00,60,0.029,94,3
06/06/14,walking,walking,2014-06-06T10:03:20+01:00,2014-06-06T10:07:12+01:00,232,0.179,340,21
06/06/14,walking,walking,2014-06-06T10:09:17+01:00,2014-06-06T10:09:50+01:00,33,0.014,44,2
06/06/14,walking,walking,2014-06-06T11:05:38+01:00,2014-06-06T11:06:00+01:00,22,0.010,33,1
06/06/14,walking,walking,2014-06-06T11:06:33+01:00,2014-06-06T11:20:02+01:00,809,0.647,1210,77
06/06/14,walking,walking,2014-06-06T11:22:58+01:00,2014-06-06T11:23:57+01:00,59,0.025,79,3
06/06/14,walking,walking,2014-06-06T13:01:39+01:00,2014-06-06T13:15:01+01:00,802,0.638,1211,76
06/06/14,walking,walking,2014-06-06T13:18:37+01:00,2014-06-06T13:20:25+01:00,108,0.045,146,5
06/06/14,walking,walking,2014-06-06T15:20:47+01:00,2014-06-06T15:26:06+01:00,319,0.217,465,26
06/06/14,walking,walking,2014-06-06T17:57:21+01:00,2014-06-06T17:58:35+01:00,74,0.032,103,4
06/06/14,walking,walking,2014-06-06T18:00:23+01:00,2014-06-06T18:03:36+01:00,193,0.148,317,18
06/06/14,walking,walking,2014-06-06T18:05:26+01:00,2014-06-06T18:12:10+01:00,404,0.290,504,34
06/06/14,transport,transport,2014-06-06T18:12:10+01:00,2014-06-06T18:18:40+01:00,390,0.915,0,0
06/06/14,walking,walking,2014-06-06T18:18:40+01:00,2014-06-06T18:22:33+01:00,233,0.121,304,14
06/06/14,transport,transport,2014-06-06T18:28:27+01:00,2014-06-06T18:49:47+01:00,1280,11.586,0,0
06/06/14,walking,walking,2014-06-06T18:49:47+01:00,2014-06-06T18:52:49+01:00,182,0.114,315,14
06/06/14,transport,transport,2014-06-06T18:52:48+01:00,2014-06-06T18:55:18+01:00,150,0.658,0,0
06/06/14,walking,walking,2014-06-06T18:55:18+01:00,2014-06-06T18:58:34+01:00,196,0.146,284,17
06/06/14,walking,walking,2014-06-06T18:58:34+01:00,2014-06-06T18:59:34+01:00,60,0.075,101,9
07/06/14,walking,walking,2014-06-07T04:51:28+01:00,2014-06-07T04:51:36+01:00,8,0.003,10,0
07/06/14,walking,walking,2014-06-07T06:46:38+01:00,2014-06-07T06:46:46+01:00,8,0.003,10,0
07/06/14,walking,walking,2014-06-07T07:53:00+01:00,2014-06-07T07:53:08+01:00,8,0.003,10,0
