Date,Type,Name,Start,End,Duration
18/06/14,move,walking,2014-06-18T16:19:37+01:00,2014-06-18T16:28:13+01:00,516
18/06/14,place,Place in London Congestion Charge,2014-06-18T16:28:13+01:00,2014-06-18T19:53:19+01:00,12306
18/06/14,move,walking,2014-06-18T19:53:19+01:00,2014-06-18T20:03:19+01:00,600
18/06/14,move,transport,2014-06-18T20:03:18+01:00,2014-06-18T20:08:48+01:00,330
18/06/14,move,walking,2014-06-18T20:08:49+01:00,2014-06-18T20:11:49+01:00,180
18/06/14,move,transport,2014-06-18T20:11:49+01:00,2014-06-18T20:45:57+01:00,2048
18/06/14,move,walking,2014-06-18T20:45:56+01:00,2014-06-18T20:50:26+01:00,270
18/06/14,move,transport,2014-06-18T20:50:27+01:00,2014-06-18T20:55:57+01:00,330
18/06/14,move,walking,2014-06-18T20:55:57+01:00,2014-06-18T21:01:54+01:00,357
18/06/14,place,Place in London Borough of Enfield,2014-06-18T21:01:54+01:00,2014-06-19T00:00:00+01:00,10686
19/06/14,place,Place in London Borough of Enfield,2014-06-19T00:00:00+01:00,2014-06-19T21:46:22+01:00,78382
20/06/14,place,Place in London Borough of Enfield,2014-06-20T10:39:23+01:00,2014-06-20T10:48:24+01:00,541
20/06/14,move,transport,2014-06-20T10:48:24+01:00,2014-06-20T11:06:08+01:00,1064
20/06/14,move,walking,2014-06-20T11:06:07+01:00,2014-06-20T11:09:44+01:00,217
20/06/14,place,Place in Chase Farm Hospital,2014-06-20T11:09:45+01:00,2014-06-20T13:31:38+01:00,8513
20/06/14,move,transport,2014-06-20T13:31:38+01:00,2014-06-20T13:43:25+01:00,707
20/06/14,place,Place in London Borough of Enfield,2014-06-20T13:43:25+01:00,2014-06-20T16:48:55+01:00,11130
21/06/14,place,Place in London Borough of Enfield,2014-06-21T04:35:11+01:00,2014-06-22T00:00:00+01:00,69889
22/06/14,place,Place in London Borough of Enfield,2014-06-22T00:00:00+01:00,2014-06-22T12:18:26+01:00,44306
23/06/14,move,transport,2014-06-23T16:40:16+01:00,2014-06-23T17:37:00+01:00,3404
23/06/14,place,Place in Butler's Wharf,2014-06-23T17:37:00+01:00,2014-06-23T17:49:24+01:00,744
23/06/14,move,walking,2014-06-23T17:49:24+01:00,2014-06-23T17:52:42+01:00,198
23/06/14,place,Place in Butler's Wharf,2014-06-23T17:56:09+01:00,2014-06-23T20:49:34+01:00,10405
23/06/14,move,walking,2014-06-23T20:49:34+01:00,2014-06-23T21:01:19+01:00,705
23/06/14,move,transport,2014-06-23T21:01:18+01:00,2014-06-23T21:37:38+01:00,2180
23/06/14,place,Place in London Borough of Enfield,2014-06-23T21:38:03+01:00,2014-06-23T22:44:41+01:00,3998
24/06/14,place,Place in London Borough of Enfield,2014-06-24T01:52:03+01:00,2014-06-24T07:24:24+01:00,19941
24/06/14,place,Place in London Borough of Enfield,2014-06-24T07:24:24+01:00,2014-06-24T07:38:50+01:00,866
24/06/14,move,transport,2014-06-24T07:38:50+01:00,2014-06-24T07:42:06+01:00,196
24/06/14,move,walking,2014-06-24T07:42:06+01:00,2014-06-24T07:47:06+01:00,300
24/06/14,move,transport,2014-06-24T07:47:06+01:00,2014-06-24T08:08:44+01:00,1298
24/06/14,move,walking,2014-06-24T08:08:43+01:00,2014-06-24T08:11:43+01:00,180
24/06/14,move,transport,2014-06-24T08:11:43+01:00,2014-06-24T08:17:43+01:00,360
24/06/14,move,walking,2014-06-24T08:17:44+01:00,2014-06-24T08:25:31+01:00,467
24/06/14,place,Place in London Borough of Tower Hamlets,2014-06-24T08:25:31+01:00,2014-06-24T08:53:15+01:00,1664
24/06/14,move,walking,2014-06-24T08:53:15+01:00,2014-06-24T09:13:08+01:00,1193
24/06/14,place,Place in Mile End Hospital,2014-06-24T09:13:08+01:00,2014-06-24T13:36:59+01:00,15831
